name,latitude,longitude,has_ebikes,free_bikes,renting,returning,slots
Casgrain / St-Viateur,45.52751292628879,-73.59879076480864,True,0,1,1,23
St-Dominique / Laurier,45.52361490311454,-73.59245739877223,True,4,1,1,23
de Bullion / St-Joseph,45.52404631813311,-73.59015061847458,True,0,1,1,23
de Gaspé / Fairmount,45.52557815939422,-73.59285570681095,True,0,1,1,23
de l'Hôtel-de-Ville / Villeneuve,45.52348082760688,-73.58732756238169,True,4,1,1,23
Henri-Julien / Laurier,45.52574657625029,-73.59033644199371,True,0,1,1,23
Marquette / Laurier,45.53543,-73.5822,True,3,1,1,27
Milton / du Parc,45.50936142835129,-73.57386365532875,True,11,1,1,31
Waverly / St-Viateur,45.5238561444472,-73.60012650489807,True,3,1,1,19
de Bordeaux / Gilford,45.53611005443118,-73.5762870311737,True,2,1,1,19
de Bordeaux / Masson,45.53898439552301,-73.5824453830719,True,10,1,1,19
Labadie / du Parc,45.5198946757576,-73.59682738780975,True,0,1,1,19
Fullum / Marie-Anne,45.53650541861215,-73.56803923845291,True,6,1,1,23
Parthenais / du Mont-Royal,45.53640396516409,-73.57141345739365,True,4,1,1,23
Clark / St-Viateur,45.5251943015533,-73.59935637563467,True,4,1,1,15
Duluth  / St-Denis,45.52062760607925,-73.57594907283782,True,6,1,1,15
Clark / Rachel,45.5173538,-73.58212888,True,9,1,1,31
Resther / du Mont-Royal,45.52562819123256,-73.58177483081818,True,1,1,1,23
de Mentana / Marie-Anne,45.526026565221414,-73.57785880565643,True,2,1,1,27
Hutchison / Prince-Arthur,45.50975858607626,-73.57610732316971,True,7,1,1,19
du Mont-Royal / Clark,45.51941,-73.58685,True,6,1,1,35
Bernard / Jeanne-Mance,45.52428310031213,-73.6049484461546,True,5,1,1,23
Jeanne-Mance / Laurier,45.52027633320609,-73.59497621666378,True,4,1,1,23
Milton / Durocher,45.508140959417744,-73.57492983341217,True,4,1,1,27
Clark / Prince-Arthur,45.513342512307055,-73.57301607728004,True,27,1,1,31
Bercy / Rachel,45.53840340979245,-73.56196403503418,True,9,1,1,15
de l'Esplanade / du Mont-Royal,45.51825290855221,-73.5883381962776,True,0,1,1,23
Villeneuve / St-Urbain,45.520188,-73.590559,True,3,1,1,19
de Rouen / Hogan,45.53636263222538,-73.55421245098114,True,5,1,1,15
de Gaspé / St-Viateur,45.527672646696104,-73.59738260507582,True,2,1,1,19
Waverly / Van Horne,45.527363,-73.607723,True,3,1,1,11
Poupart / Ontario,45.531836726498305,-73.55348825454712,True,17,1,1,19
Querbes / Laurier,45.51748721436461,-73.59788417816162,True,5,1,1,15
Berri / Cherrier,45.519266156911335,-73.5692971944809,True,18,1,1,39
Aylmer / Prince-Arthur,45.508566869474386,-73.57769787311554,True,3,1,1,23
Bloomfied / Elmwood,45.51825588419192,-73.60320568084717,True,0,1,1,15
Marie-Anne / St-Hubert,45.5246829812827,-73.5788968205452,True,1,1,1,19
Durocher / Bernard,45.52222528598142,-73.60668718814848,True,0,1,1,15
Fullum / de Rouen,45.5321322155395,-73.55876013636589,True,18,1,1,27
Sherbrooke / Frontenac,45.5367,-73.56081,True,3,1,1,15
Square St-Louis (du Square St-Louis / Laval),45.516090801970655,-73.5701286792755,True,4,1,1,31
